Entity,Code,Year,Corruption Perception Index - Transparency International (2018).x,Share of the population in extreme poverty.x,Corruption Perception Index - Transparency International (2018).y,Share of the population in extreme poverty.y,Oil production (TWh).x,HAQ Index (IHME (2017)).x,Gender Inequality Index (Human Development Report (2015)).x,GDP per capita (constant 2015 US$).x,freeexpr_bti.x,electfreefair_bti.x,"Foreign direct investment, net outflows (% of GDP).x","Foreign direct investment, net inflows (% of GDP).x",Birth rate - Sex: all - Age: all - Variant: estimates.x,Deaths - Cardiovascular diseases - Sex: Both - Age: Age-standardized (Rate).x,Oil production (TWh).y,HAQ Index (IHME (2017)).y,Gender Inequality Index (Human Development Report (2015)).y,GDP per capita (constant 2015 US$).y,freeexpr_bti.y,electfreefair_bti.y,"Foreign direct investment, net outflows (% of GDP).y","Foreign direct investment, net inflows (% of GDP).y",Birth rate - Sex: all - Age: all - Variant: estimates.y,Deaths - Cardiovascular diseases - Sex: Both - Age: Age-standardized (Rate).y
Algeria,DZA,2012,34,NA,34,NA,781.6755371,NA,0.43200001,4012.361572,NA,NA,-0.01982319,0.717693329,25.38199997,426.84,781.6755371,NA,0.43200001,4012.361572,NA,NA,-0.01982319,0.717693329,25.38199997,426.84
Algeria,DZA,2013,36,NA,36,NA,753.4379272,NA,0.42899999,4042.923584,6,6,-0.129555121,0.806601346,25.23600006,418.71,753.4379272,NA,0.42899999,4042.923584,6,6,-0.129555121,0.806601346,25.23600006,418.71
Algeria,DZA,2014,36,NA,36,NA,799.8067017,NA,0.42899999,4112.076172,NA,NA,-0.008685724,0.702589214,25.40399933,415.17,799.8067017,NA,0.42899999,4112.076172,NA,NA,-0.008685724,0.702589214,25.40399933,415.17
Algeria,DZA,2015,36,2.09,36,2.09,781.8267212,63.7,0.42899999,4177.889648,6,5,0.060924649,-0.324012071,25.40500069,412.81,781.8267212,63.7,0.42899999,4177.889648,6,5,0.060924649,-0.324012071,25.40500069,412.81
Algeria,DZA,2016,34,1.88,34,1.88,795.6896973,NA,NA,4224.037109,NA,NA,0.029081842,1.023696423,25.16600037,405.9,795.6896973,NA,NA,4224.037109,NA,NA,0.029081842,1.023696423,25.16600037,405.9
Algeria,DZA,2017,33,1.91,33,1.91,775.1162109,NA,NA,4192.337891,6,5,-0.005036199,0.723259866,24.75499916,401.39,775.1162109,NA,NA,4192.337891,6,5,-0.005036199,0.723259866,24.75499916,401.39
Algeria,DZA,2018,35,1.99,35,1.99,759.8111572,NA,NA,4154.219238,NA,NA,0.483795822,0.838207483,24.0739994,399.51,759.8111572,NA,NA,4154.219238,NA,NA,0.483795822,0.838207483,24.0739994,399.51
Angola,AGO,2012,22,NA,22,NA,991.9908447,NA,NA,4167.125977,NA,NA,0.692273319,-1.143768311,43.86000061,321.76,991.9908447,NA,NA,4167.125977,NA,NA,0.692273319,-1.143768311,43.86000061,321.76
Angola,AGO,2013,23,NA,23,NA,990.9448242,NA,NA,4220.964844,5,4,0.674103677,-5.20812273,43.2820015,316.38,990.9448242,NA,NA,4220.964844,5,4,0.674103677,-5.20812273,43.2820015,316.38
Angola,AGO,2014,19,NA,19,NA,968.5162964,NA,NA,4272.455566,NA,NA,0.608591795,2.510095119,42.67599869,307.12,968.5162964,NA,NA,4272.455566,NA,NA,0.608591795,2.510095119,42.67599869,307.12
Angola,AGO,2015,15,24.65,15,24.65,1025.331665,40.7,NA,4166.97998,4,3,-0.675484598,8.630605698,42.02000046,305.34,1025.331665,40.7,NA,4166.97998,4,3,-0.675484598,8.630605698,42.02000046,305.34
Angola,AGO,2016,18,25.75,18,25.75,997.4822388,NA,NA,3924.620361,NA,NA,0.269970924,-0.177522525,41.3769989,302.73,997.4822388,NA,NA,3924.620361,NA,NA,0.269970924,-0.177522525,41.3769989,302.73
Angola,AGO,2017,19,26.38,19,26.38,949.0654907,NA,NA,3790.791504,4,3,1.107077241,-6.057209015,40.81000137,302.39,949.0654907,NA,NA,3790.791504,4,3,1.107077241,-6.057209015,40.81000137,302.39
Angola,AGO,2018,19,26.92,19,26.92,861.6135864,NA,NA,3595.106689,NA,NA,0.005637874,-6.369877338,40.23600006,303.34,861.6135864,NA,NA,3595.106689,NA,NA,0.005637874,-6.369877338,40.23600006,303.34
Congo,COG,2012,26,NA,26,NA,165.6272888,NA,0.60900003,2578.661865,NA,NA,1.245877862,-0.391399384,37.50799942,369.61,165.6272888,NA,0.60900003,2578.661865,NA,NA,1.245877862,-0.391399384,37.50799942,369.61
Congo,COG,2013,22,NA,22,NA,143.3223419,NA,0.60600001,2497.949707,4,3,7.142861843,10.46210003,36.4980011,368.1,143.3223419,NA,0.60600001,2497.949707,4,3,7.142861843,10.46210003,36.4980011,368.1
Congo,COG,2014,23,NA,23,NA,149.9277649,NA,0.59399998,2601.458496,NA,NA,6.983504295,16.13977242,35.52700043,367.21,149.9277649,NA,0.59399998,2601.458496,NA,NA,6.983504295,16.13977242,35.52700043,367.21
Congo,COG,2015,23,40.94,23,40.94,138.7888336,43.5,0.59200001,2447.539307,3,3,4.620863438,35.99449921,34.64799881,364.31,138.7888336,43.5,0.59200001,2447.539307,3,3,4.620863438,35.99449921,34.64799881,364.31
Congo,COG,2016,20,43.11,20,43.11,138.2570801,NA,NA,2128.859131,NA,NA,11.71628571,0.495050848,33.70600128,360.32,138.2570801,NA,NA,2128.859131,NA,NA,11.71628571,0.495050848,33.70600128,360.32
Congo,COG,2017,21,43.96,21,43.96,160.4962769,NA,NA,1983.900513,3,2,0.405165762,39.82761765,33.02500153,358.05,160.4962769,NA,NA,1983.900513,3,2,0.405165762,39.82761765,33.02500153,358.05
Congo,COG,2018,19,41.58,19,41.58,196.9117126,NA,NA,1840.433594,NA,NA,0.099596463,31.5672226,32.3370018,357.05,196.9117126,NA,NA,1840.433594,NA,NA,0.099596463,31.5672226,32.3370018,357.05
Equatorial Guinea,GNQ,2012,20,NA,20,NA,176.3504028,NA,NA,14614.17676,NA,NA,NA,4.400755882,37.45800018,258.09,176.3504028,NA,NA,14614.17676,NA,NA,NA,4.400755882,37.45800018,258.09
Equatorial Guinea,GNQ,2013,19,NA,19,NA,153.9201355,NA,NA,13421.56543,NA,NA,NA,2.655943871,36.8030014,253.08,153.9201355,NA,NA,13421.56543,NA,NA,NA,2.655943871,36.8030014,253.08
Equatorial Guinea,GNQ,2017,17,0.12,17,0.12,104.2712631,NA,NA,8986.951172,NA,NA,NA,2.498396873,33.50699997,260.59,104.2712631,NA,NA,8986.951172,NA,NA,NA,2.498396873,33.50699997,260.59
Equatorial Guinea,GNQ,2018,16,0.12,16,0.12,94.47001648,NA,NA,8124.183105,NA,NA,NA,3.024184227,32.66699982,261.5,94.47001648,NA,NA,8124.183105,NA,NA,NA,3.024184227,32.66699982,261.5
Gabon,GAB,2012,35,NA,35,NA,128.7734833,NA,0.55199999,7181.213867,NA,NA,5.304090977,3.944723368,32.7179985,317.54,128.7734833,NA,0.55199999,7181.213867,NA,NA,5.304090977,3.944723368,32.7179985,317.54
Gabon,GAB,2013,34,NA,34,NA,123.9252472,NA,0.54900002,7304.779785,NA,NA,1.34288466,1.841538548,32.18199921,311.22,123.9252472,NA,0.54900002,7304.779785,NA,NA,1.34288466,1.841538548,32.18199921,311.22
